Timestamp,Team Name,1,2,3,4,5,6,7,8
4/18/2020 22:35:24,Yoornados,N/A,Anna Wintour,Ysuein Bolt,Sean PArker,jeff bezos,Timothee chalamet,Zendaya,Ilhan 
4/18/2020 22:35:27,Pontz-in-Place,CEO of Google,Skelator — Jane's Dad's wife,Fastest marathoner,Joe,"He's in movies, including 1917 where he played a kindly officer",Timothe Chalmet,She's in that HBO show where it looks like young people doing drugs — Euphoria is the name of the show.,Ilhan Omar
4/18/2020 22:36:21,Tommy & Jilly,Serg Google's CEO,,Usom someting (runs sub 3 marathons) ,Golfer dude,,,HBO high school show,Ilamra
4/18/2020 22:36:33,Notorious C.O.V.I.D.,Sundar Pichal,Anna Wintor,The fastest marathon runner dude,Tim Tebow,Michael Avenatti,Tom (something or other),Zendaya,Ilhan Omar
4/18/2020 22:36:48,That bitch Carole Baskin,Sandeep Singh,Anne Wintour,,Chad,,Timothee Chamalet,Zendaya,Ilhan Omar
4/18/2020 22:37:02,The Lone Rangers,Taleb Nassim,Anna Wintour,Kipochege,JD Scholten,Stanley tucci,Timothee chalemet ,Zendaya,Ilan Ohmar
4/18/2020 22:39:03,Team 1,CEO Google,anna wintor - thanks mmm,,,actor,actor,zendaya,
