Timestamp,Team Name,1,2,3,4,5,6,7,8
4/18/2020 23:05:22,Yoornados,"30, Philadelphia",Hitler invades poland,Marc Anthony,Marie Antoinette,1890,Ivory Coast,Elizabeth I,"0, Idaho"
4/18/2020 23:06:03,Tommy and Jilly,3,Start of WW2,Agustus Caeser ,Marry Antwennette ,1887,,King Henry ,"3, California"
4/18/2020 23:07:02,Lone Rangers,Philly,Invasion of poland,Aurelias,Marie Antoinette,1849,Zimbabwe,Victoria,Arizona
4/18/2020 23:07:26,Pontz-in-Place,Philadelphia,Hilter invaded Poland,Augustus,Marie Antoinette,1889,South Africa,Victoria,Oklahoma
4/18/2020 23:07:45,That bitch Carole Baskin,Bet: 20 Philadelphia,The Hindenberg disaster,Augustus,Marie Antoinette,1890,DRC,Queen Victoria,Bet: 2 Nevada
4/18/2020 23:07:58,Notorious C.O.V.I.D.,20 - Philadelphia,Krystalnacht,Augustus,Marie Antoinette,1864,Zimbabwe,"Queen Victoria (Victorian Era ""Victoria"")",20 - Minnesota
4/18/2020 23:08:17,Team 1- 0 points,baltimore,invasion of poland / start of WW1,bruno mars,marie antoinette,1873,kenya,the king of england,idaho
