Timestamp,Team Name,1,2,3,4,5,6,7,8
4/18/2020 21:27:42,Yoornados,-88,106,"Neil Armstrong, Buzz Aldrin, and Kevin Bacon",Sequioa,Albert Einstein,97,"Jurassic, Croassic, and ice age",59
4/18/2020 21:28:45,Pontz-In-Place,-100,92,"Buz Aldrin, Neil Armstrong, and Ryan Goesling's friend",Bristlecone Pine,Albert Einstein,97,"Jurassic, Triassic, Cenozoic",37
4/18/2020 21:30:48,Tommy&Jilly,36,241,"Buzz Aldren, Neil Armstrong, ",Redwood,Isaac Newton,97,"jarrasic, crustaicious, ",20
4/18/2020 21:31:39,Notorious C.O.V.I.D.,72,132,Tom Hanks,Baobob,Heisenberg,97,"triassic, jurassic, cretaceous",30
4/18/2020 21:31:51,Team 1,47,129,"Buzz Aldridge, Buzz Light Year, Bud Light",sequioa ,Your Mom,79,"Early, Mid, Late",53
4/18/2020 21:32:19,That bitch Carole Baskin,-83,127,"Neil Armstrong, Buzz Aldrin, John Glenn",Sequoia,Albert Einstein,97,"Jurassic, Cretaceous, Paleolithic",88
4/18/2020 21:32:37,The Lone Rangers,41 degrees,238,"Aldrin, Armstrong, Lewis ",Lone pine,Einstein,97,"Jurassic, Cretaceous, Triassic ",27
