Timestamp,Team Name,1,2,3,4,5,6,7,8
4/18/2020 23:34:32,Pontz-in-Place,38,"RZA, Ol' Dirty Bastard, ",September,"Steph Curry, 15",California,"Meryl Streep, 4",Russia,187
4/18/2020 23:34:46,Yoornados,32,"RZA, GZA, ODB, Method Man, Ghostface Killah, Raekwon, Inspectah Deck, Cappadonna, Masta Killah, Redman  ",October,"Klay Thompson, 14",Florida,"Meryl Streep, 4",Mexico,77
4/18/2020 23:34:50,Notorious C.O.V.I.D.,32,"RZA, GZA, Method man, Ol dirty bastard, Inspecta deck, ghost face killa, ",July,"Steph Curry, 14",Florida,"Meryl Streep, 4",Pakistan,125
4/18/2020 23:35:19,The Lone Rangers,38,"RzA, GZA, old dirty bastard, method man, u-God, redman, ghostface killa,",April,"Klay Thompson, 15",Florida,Hepburn,Pakistan,160
4/18/2020 23:36:21,Team 1,32,"method man, ODB",october,stephen curry - 13,florida,tom hanks - 4,russia,196
4/18/2020 23:37:00,That Bitch Carole Baskin,41,"Inspecta Deck, RZA, JZA, Ghostface Killa, Method Man, Ole Dirty Bastard, Rakwon",April,"Kobe Bryant, 18",Florida,"Meryl Streep, 18",Indonesia,112
